Student_ID,Country,Field_of_Study,Age,Gender,Year_of_Enrollment
STUD00001,Mexico,Physics,32,Male,2021
STUD00002,USA,,38,Non-binary,
STUD00003,USA,Engineering,38,Non-binary,2019
STUD00004,China,,40,Male,
STUD00005,South Africa,Physics,39,Male,2015
STUD00006,China,,33,Male,2016
STUD00007,Brazil,Mathematics,38,Female,2016
STUD00008,Canada,Business,20,Female,2022
STUD00009,Germany,Business,43,Male,2012
STUD00010,Canada,Computer Science,22,Female,2016
STUD00011,France,Law,22,Female,2013
STUD00012,Brazil,Engineering,36,,2012
STUD00013,Argentina,Business,35,Female,2020
STUD00014,Australia,Education,33,Female,2013
STUD00015,France,Biology,39,Non-binary,2014
STUD00016,Japan,Science,28,Male,2016
STUD00017,Japan,Psychology,34,Non-binary,2015
STUD00018,USA,Medicine,41,Non-binary,2013
STUD00019,Canada,Education,35,Female,2021
STUD00020,India,Business,39,Male,2018
STUD00021,South Africa,Medicine,19,Non-binary,2020
STUD00022,,Mathematics,40,Non-binary,2021
STUD00023,USA,Education,40,Female,2023
STUD00024,Mexico,Law,19,Non-binary,2013
STUD00025,Australia,Computer Science,,,2023
STUD00026,Argentina,Engineering,29,Female,2010
STUD00027,Canada,Engineering,39,Male,2012
STUD00028,Brazil,Law,41,Female,2017
STUD00029,Germany,Medicine,39,Non-binary,2013
STUD00030,Argentina,Business,25,Non-binary,2011
STUD00031,Germany,,39,Male,2016
STUD00032,France,Mathematics,,,
STUD00033,Mexico,Education,29,Male,2010
STUD00034,Brazil,Engineering,33,Female,2020
STUD00035,Japan,Engineering,39,Female,2023
STUD00036,Australia,Biology,27,Female,2020
STUD00037,France,Arts,24,Female,2010
STUD00038,UK,Science,21,Male,2011
STUD00039,France,Business,25,Male,2021
STUD00040,Spain,Education,28,Non-binary,2010
STUD00041,Germany,Education,29,Female,2022
STUD00042,Argentina,Physics,23,Female,2015
STUD00043,China,Engineering,21,Male,2011
STUD00044,Japan,Science,23,Female,2019
STUD00045,UK,Education,44,Non-binary,2021
STUD00046,Spain,Business,44,Female,2012
STUD00047,Argentina,Medicine,34,Female,2012
STUD00048,UK,Mathematics,39,Female,2022
STUD00049,UK,Mathematics,34,Female,2013
STUD00050,UK,Arts,29,Female,2017
STUD00051,Germany,Computer Science,27,Female,2011
STUD00052,Argentina,Computer Science,41,Male,2011
STUD00053,Germany,Psychology,27,Male,2020
STUD00054,France,Mathematics,27,Male,2023
